fullVisitorId,productSKU,productName,quantity,totalValue,consecutiveWeeksCount,lastWeek
4656013451214852982,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-19
467225047274698461,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2017-02-05
4835082938415020542,GGOEGHPA002910,Google Trucker Hat,1,21990000,1,2016-10-27
4835082938415020542,GGOEGOAB015899,Rainbow Stylus Pen,50,75000000,1,2016-10-27
4835082938415020542,GGOEGOAR021999,Color Changing Grip Pen,30,45000000,1,2016-10-27
4835082938415020542,GGOEGODR017799,Recycled Mouse Pad,20,30000000,1,2016-10-27
4835082938415020542,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,25,49750000,1,2016-10-27
4851838287757329437,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-15
4895589108517804020,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2017-01-03
4922504438782099202,GGOENEBQ084699,Nest® Learning Thermostat 3rd Gen-USA - White,1,149000000,1,2017-07-16
4924742829648731109,GGOEGAEJ033316,Google Men's Long Sleeve Pullover Badge Tee Heather,1,27990000,1,2016-12-28
4984366501121503466,GGOEGBJR018199,Reusable Shopping Bag,16,56000000,1,2016-12-14
4984366501121503466,GGOEGOAC021799,Ballpoint Pen Blue,100,99000000,1,2016-10-18
5036056884206014457,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,2,238000000,1,2016-12-20
5099484252106710427,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-02-02
5112369122544987822,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,20,47800000,1,2017-05-24
5112369122544987822,GGOEGOAB021699,Google Ballpoint Pen Black,10,15900000,1,2017-05-24
5112369122544987822,GGOEGOAR021999,Color Changing Grip Pen,10,12000000,1,2017-05-24
5174330499052271898,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-02
5182591084987683579,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,2,238000000,1,2016-12-27
5183210238809213015,GGOEGAAR010714,Google Men's 100% Cotton Short Sleeve Hero Tee Red,1,13590000,1,2016-09-19
5185645869012304658,GGOEGDHC018299,Google 22 oz Water Bottle,50,119500000,1,2017-06-27
5185645869012304658,GGOEGOAA017199,Rubber Grip Ballpoint Pen 4 Pack,25,99750000,1,2017-06-27
5185645869012304658,GGOEGOCR017899,Recycled Paper Journal Set,50,159500000,1,2017-06-27
5205547777184804145,GGOEGDHJ082599,Google 17 oz Double Wall Stainless Steel Insulated Bottle,1,19990000,1,2017-04-09
5216295436197840308,GGOEGAAQ010413,Google Men's 100% Cotton Short Sleeve Hero Tee White,1,16990000,1,2016-12-19
5216295436197840308,GGOEGAEC033113,Google Men's Long Sleeve Raglan Ocean Blue,1,24990000,1,2016-12-19
5241647858965846935,GGOEGFAQ016699,Bottle Opener Clip,3,10500000,1,2016-10-06
527376539107477240,GGOENEBQ079099,Nest® Protect Smoke + CO White Battery Alarm-USA,4,316000000,1,2017-05-15
5371406328024359567,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2016-11-07
5371406328024359567,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,3,357000000,1,2016-11-07
5383186843035348431,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-01-12
5388358994416141920,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-08-01
5402571042001627330,GGOEGAAJ032315,Google Men's Short Sleeve Hero Tee Charcoal,3,31890000,1,2017-07-13
5453754604542193640,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-01-17
5574984436191734530,GGOEGBJL013999,Google Canvas Tote Natural/Navy,14,179060000,1,2016-09-09
5583321710262538531,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-04-24
5585823397814979670,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-04-03
5697312187807856510,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,4,476000000,1,2016-11-16
5709844606802776587,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,2,238000000,2,2016-12-19
5713365943321772776,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-07-09
5844499585021930653,GGOEGBCR024399,Google Lunch Bag,1,11190000,1,2017-04-06
5844499585021930653,GGOEGBJR018199,Reusable Shopping Bag,3,8400000,1,2017-04-06
5881690998145293518,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,2,238000000,1,2016-12-02
5909421140006414053,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-11-30
593454932952091656,GGOENEBQ084699,Nest® Learning Thermostat 3rd Gen-USA - White,1,149000000,1,2017-06-19
6241521427679714135,GGOEGBJR018199,Reusable Shopping Bag,2,7000000,1,2017-02-28
6241521427679714135,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,2,3980000,1,2017-02-28
6241521427679714135,GGOEGFYQ016599,Foam Can and Bottle Cooler,2,3980000,1,2017-02-28
6241521427679714135,GGOEGGOA017399,Maze Pen,10,9900000,1,2017-02-28
6259202518292934794,GGOEGFKQ020799,Google Doodle Decal,1,2390000,1,2017-08-01
6259202518292934794,GGOEGFYQ016599,Foam Can and Bottle Cooler,1,1110000,1,2017-08-01
6259202518292934794,GGOEGHPB080410,Google 5-Panel Snapback Cap,1,10630000,1,2017-08-01
6259202518292934794,GGOEGOCC077999,Google Spiral Journal with Pen,1,5590000,1,2017-08-01
6274710124593723959,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2016-12-20
6318304675637687761,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,1,119000000,1,2017-01-13
6382817555396720981,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,2,238000000,1,2016-12-08
6404973842719827074,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,1,119000000,1,2017-04-29
6404973842719827074,GGOENEBQ079199,Nest® Protect Smoke + CO White Wired Alarm-USA,4,316000000,1,2017-04-29
6409468752915442903,GGOENEBB081499,Nest® Cam Indoor Security Camera - CA,1,149000000,1,2016-12-22
6409468752915442903,GGOENEBJ081899,Nest® Learning Thermostat 3rd Gen - CA - Stainless Steel,1,199000000,1,2016-12-22
655228336256010683,GGOENEBQ084699,Nest® Learning Thermostat 3rd Gen-USA - White,1,149000000,1,2017-06-22
6592883580168014282,GGOEGOLC014299,Google Metallic Notebook Set,60,287400000,1,2017-04-04
6625847546972258682,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2016-12-13
6633489378641485537,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-01-17
6666536203819207731,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,2,238000000,1,2017-04-24
6711726803332388853,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,1,149000000,1,2017-05-19
6760732402251466726,GGOEGAAQ010414,Google Men's 100% Cotton Short Sleeve Hero Tee White,4,54360000,1,2016-08-31
6760732402251466726,GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,2,27180000,1,2016-08-31
6760732402251466726,GGOEGAAQ010416,Google Men's 100% Cotton Short Sleeve Hero Tee White,1,13590000,1,2016-08-31
6760732402251466726,GGOEGAEQ027913,Google Women's Short Sleeve Hero Tee White,1,13590000,1,2016-08-31
6760732402251466726,GGOEGAEQ027914,Google Women's Short Sleeve Hero Tee White,1,13590000,1,2016-08-31
6760732402251466726,GGOEGDHC017999,24 oz USA Made Aluminum Bottle,10,79900000,1,2016-09-14
